"","Start","End","chr","Symbol","genetype","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene24995",17781576,17793598,"22","RPP14","protein_coding","515208",-3.47125935534395,1.68000623078891,-11.6584437725739,6.23162666220944e-11,2.65046661010423e-07,14.75664807774
"gene18698",44949636,44963454,"16","LOC113906214","protein_coding",NA,-4.34630905210893,0.194333498163719,-11.9239902153197,4.03915545845572e-11,2.29060506049024e-07,14.0831610807026
"gene32097",13254,59059,"NW_020867367.1","LOC113888702","protein_coding",NA,-3.13784270999644,2.72262748925144,-10.7829432599114,2.74370486067191e-10,9.21631803808453e-07,13.7066651463927
"gene17877",49086794,49127026,"15","NUCB2","protein_coding","509003",-0.681872837646885,4.11161775887007,-10.5778993651963,3.92998597410181e-10,9.21631803808453e-07,13.3557983304558
"gene32566",10611,19237,"NW_020867844.1","LOC113889207","lncRNA",NA,5.54621057206588,-2.2783738088713,15.6592927105162,1.78195030254234e-13,3.03163204971529e-09,13.2620142523207
"gene10203",38694509,38752815,"8","ERMP1","protein_coding","541094",1.07801903033617,7.86258395886357,10.5469964240241,4.15040400422451e-10,9.21631803808453e-07,13.1380917916891
"gene23823",5564969,5699046,"21","LRRK1","protein_coding","513994",-1.16095355937748,6.40418739337115,-10.5225569864463,4.33377677685747e-10,9.21631803808453e-07,13.1314412956357
"gene9107",89415807,89472841,"7","TMPRSS9","protein_coding","518647",-1.82983619588254,0.471864789541654,-10.4243463588791,5.15964705731597e-10,9.75345282067963e-07,12.766311838015
"gene15239",16425464,16460089,"13","TGM2","protein_coding","281528",-1.53776798581449,4.65233097661045,-10.1580217820832,8.32717841400251e-10,1.41670286357425e-06,12.5597648151748
"gene9457",97495222,97500388,"7","LOC113895977","lncRNA",NA,5.76184137297666,-2.26240761429079,13.446948343271,3.83359916132325e-12,3.26105112657962e-08,11.9506320554289
"gene18605",39989230,40001434,"16","TNFSF18","protein_coding","768081",1.25534396140255,5.30689991751553,9.4372212900276,3.17413238679288e-09,4.5001261913756e-06,11.1989099463657
"gene8769",67506803,67513170,"7","FSTL3","protein_coding","515367",-1.23224112807639,0.615365183212235,-9.19201922220158,5.07774999456545e-09,6.17055433268157e-06,10.7179852180082
"gene19916",65834714,65839806,"17","LOC113907755","protein_coding",NA,-1.72269469835169,-1.11785762661933,-9.59808835485892,2.34172457661579e-09,3.62179638381495e-06,10.665804819337
"gene1064",136623882,136675896,"1","ACPP","protein_coding","504700",2.41057455378555,1.72657879720667,9.12172226110795,5.81807291669927e-09,6.1944692265509e-06,10.6560036233131
"gene3630",55040076,55073291,"3","LOC113889651","lncRNA",NA,-2.44746359839565,1.16208054122974,-9.08984575843946,6.18973589909865e-09,6.1944692265509e-06,10.5784060537062
"gene21000",20167644,20168798,"18","LOC113875709","protein_coding",NA,-2.81700679801642,-0.851622366920224,-9.27979283263059,4.28796628148909e-09,5.61162848822876e-06,10.2014504042149
"gene13920",74300248,74331524,"11","UBXN2A","protein_coding","613578",-0.597210755366279,5.80494671167352,-8.95440249028638,8.06438143198974e-09,7.62218451680231e-06,10.198671361518
"gene11372",64029657,64102659,"9","NT5E","protein_coding","281363",1.17743740918092,4.07697266255977,8.815951106527,1.05945740935894e-08,8.36154419280906e-06,10.0734718556128
"gene5907",16647278,16658479,"5","C1S","protein_coding","767827",2.76007510357871,6.28678428791654,8.83906358822421,1.01210265396814e-08,8.36154419280906e-06,10.0311244094738
"gene25033",26055832,26092791,"22","LOC113880684","lncRNA",NA,-2.48762219006295,0.656520029442357,-8.78324923828874,1.13040331766654e-08,8.36154419280906e-06,9.85272566662923
"gene16464",35904967,35961159,"14","TRPA1","protein_coding","505317",2.19235615361646,0.617082008530438,8.72103062668657,1.27925888701749e-08,8.70561257793146e-06,9.7238136891786
"gene19967",71913237,72061312,"17","CPE","protein_coding","280753",1.56093174151186,2.3723378819603,8.55456090720021,1.78559827205009e-08,1.12512531119956e-05,9.65017612372901
"gene12402",30090623,30096212,"10","LOC113900096","lncRNA",NA,2.39032932052487,-0.264995306195262,8.80450480421044,1.08375138410052e-08,8.36154419280906e-06,9.52791648727186
"gene4403",120729248,120732468,"3","LOC113890286","protein_coding",NA,-3.74569205592474,-0.17146913854626,-8.64612478680752,1.48569580816807e-08,9.72159337860132e-06,9.42350751923594
"gene24596",187585,189655,"22","LOC113880870","lncRNA",NA,2.73412728473558,-0.610975985446647,8.81766346307611,1.05587172750755e-08,8.36154419280906e-06,9.37651408282838
"gene19289",2352974,2381729,"17","LOC113907287","protein_coding",NA,5.44144431807037,0.823426669421545,8.74809697435473,1.21216028925374e-08,8.59270125044742e-06,9.16860358742453
"gene5908",16678570,16689665,"5","C1R","protein_coding","511581",2.43144786084923,5.48381415042958,8.38923253370497,2.49564311266253e-08,1.51637058127599e-05,9.16614399949212
"gene18608",40135100,40149457,"16","LOC113906550","lncRNA",NA,-3.58343674337815,-1.7389099998213,-9.09214476091903,6.16212711960025e-09,6.1944692265509e-06,9.08308115503427
"gene10898",105366413,105632832,"8","PAPPA","protein_coding","282647",-0.793171677365021,2.87811777223567,-8.25149150529018,3.30764340875651e-08,1.87576457710582e-05,9.00115293672267
"gene3811",82042257,82108026,"3","PGM1","protein_coding","534402",0.671864116845687,5.57940352808997,8.3197811581084,2.87560914040298e-08,1.68699097605779e-05,8.93825443712271
"gene21006",20389880,20416723,"18","LOC113875728","lncRNA",NA,1.19843043116278,2.67294685108307,8.09649121701928,4.55505710461549e-08,2.33593084562695e-05,8.71994565003005
"gene11745",102801203,102830906,"9","FRMD1","protein_coding","616869",-4.64468295714221,3.34219508043554,-8.0846610828083,4.66829182103781e-08,2.33593084562695e-05,8.69746652499224
