"","Start","End","chr","Symbol","genetype","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene3141",20853310,20917667,"3","LOC113887744","protein_coding",NA,2.02442301596337,3.32447735393591,14.6287285766496,4.87679051446594e-13,7.98233071407785e-09,19.7188607137182
"gene24995",17781576,17793598,"22","RPP14","protein_coding","515208",-4.57247125776056,1.79952985867892,-11.2554397120523,9.29210962848963e-11,7.60466251995591e-07,13.9348303747614
"gene21000",20167644,20168798,"18","LOC113875709","protein_coding",NA,-3.78191478364163,2.54018754885348,-10.0998845026033,7.32284461170389e-10,2.99650801510923e-06,12.667102637749
"gene32022",37309,49240,"NW_020867178.1","LOC113888621","protein_coding",NA,5.58189655433596,1.64376198806931,10.3540022397208,4.58961557161408e-10,2.50409425587264e-06,11.8045728717272
"gene12350",23331153,23788582,"10","FMN1","protein_coding","786165",1.33567719420495,2.91486759982734,8.90433350726913,7.33626944948832e-09,2.4016011669845e-05,10.5062730494375
"gene10139",24934728,24936524,"8","RRAGA","protein_coding","618207",1.62205147792606,4.22076753606608,8.5512074774203,1.50051367543198e-08,3.77308066443171e-05,9.72929355548858
"gene9205",91997900,92002817,"7","HSD11B1L","protein_coding","404546",-0.691839796692497,3.32759809950727,-8.30443044277103,2.49830913283703e-08,3.77308066443171e-05,9.27109359439042
"gene7756",71910685,71958056,"6","LOC113894312","protein_coding",NA,-0.634980921400138,6.3527778144837,-8.42154233521917,1.95946560384239e-08,3.77308066443171e-05,9.26493434410198
"gene17199",19633769,19658115,"15","CD59","protein_coding","505574",2.05185125747038,5.83518035386354,8.32422098834444,2.39751282381973e-08,3.77308066443171e-05,9.12622383388872
"gene11537",81552485,81583657,"9","STX11","protein_coding","539960",-2.15480842554844,2.76169909095591,-8.14911822464638,3.4577352130056e-08,3.77308066443171e-05,8.99577570686029
"gene9107",89415807,89472841,"7","TMPRSS9","protein_coding","518647",-2.65283815057267,1.06777204579869,-8.21997308380792,2.98007217036727e-08,3.77308066443171e-05,8.96635913928173
"gene2841",12733154,12822825,"3","LOC113884642","protein_coding",NA,1.22447450780363,4.50901352782927,8.19289701330413,3.15402373563735e-08,3.77308066443171e-05,8.92266882921555
"gene14568",21006033,21046371,"12","DHRS12","protein_coding","507276",1.19024513326854,5.648144501969,8.22978571627091,2.91949769386119e-08,3.77308066443171e-05,8.90733396031383
"gene5432",106919355,107015240,"4","ASB4","protein_coding","535831",-2.1804089914107,1.28424717775317,-8.09983569362779,3.8359312691746e-08,3.92415768836561e-05,8.80560746260783
"gene11288",50474036,50499070,"9","COQ3","protein_coding","540298",0.872456640084573,5.56373914484958,8.17203946817421,3.29513677322895e-08,3.77308066443171e-05,8.77930733770739
"gene19211",812580,823515,"17","AIFM3","protein_coding","526295",1.98051360428431,1.714886316603,8.02355682137059,4.50735004623126e-08,3.95693252516947e-05,8.68616339911098
"gene8736",66987811,67005233,"7","PWWP3A","protein_coding","513471",-1.20155067723527,5.88102143121698,-8.06595705127947,4.12042021115678e-08,3.95693252516947e-05,8.53271718761047
"gene19134",79157218,79163590,"16","LOC113906983","protein_coding",NA,-2.52003171819043,0.95337071781186,-8.01465675026814,4.5932134639675e-08,3.95693252516947e-05,8.49780302429846
"gene3761",74899560,74926663,"3","CTH","protein_coding","539159",1.14970801723561,3.38168386869772,7.80761942946189,7.14591691833785e-08,5.16475944153957e-05,8.2408428218313
"gene12402",30090623,30096212,"10","LOC113900096","lncRNA",NA,2.08408915081045,0.490689159333508,7.86909686467871,6.26330127517862e-08,5.12588576360618e-05,8.14277330814509
"gene24702",6019561,6400510,"22","ATP2B2","protein_coding","613800",-1.37817722021827,4.63529933620069,-7.80041455158724,7.25742101389358e-08,5.16475944153957e-05,8.06426887915916
"gene14949",84126490,84151128,"12","LOC113902556","lncRNA",NA,-1.40344470685735,3.35703469079319,-7.72345338496529,8.56640611889164e-08,5.39288212900071e-05,8.05087752049917
"gene18665",42962470,43009737,"16","CTNNBIP1","protein_coding","614630",0.767760298460394,6.60495778254642,7.84201524547164,6.6373953594732e-08,5.16475944153957e-05,8.0241032636357
"gene20945",19309556,19319309,"18","APLP1","protein_coding","513154",2.519589005098,3.65581900125379,7.69533425061134,9.10325816570602e-08,5.51859739467689e-05,8.02114438915737
"gene8613",60142651,60160152,"7","SLC23A1","protein_coding","282473",-0.621010747463032,6.2066721317305,-7.74752374233672,8.13275884058519e-08,5.39288212900071e-05,7.82621656763232
"gene8576",59006307,59011426,"7","WDR55","protein_coding","508709",0.648968410817682,5.92202118447239,7.74149099060557,8.23927767549833e-08,5.39288212900071e-05,7.82487250560691
