"","Start","End","chr","Symbol","genetype","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene8906",70501710,70529422,"7","BTNL9","protein_coding","100125313",4.31071710858956,0.910944075167775,12.939330222244,2.58030289492303e-12,4.35297098373515e-08,16.5441444219156
"gene16910",2972826,2982841,"15","CLP1","protein_coding","506507",-1.50004190895981,5.87881155425393,-10.6639294156547,1.37829902323254e-10,7.75063484064434e-07,14.2768086183272
"gene14646",29705137,29729177,"12","TEX26","protein_coding","508945",-2.26468284265573,2.37746916132458,-10.4806549221924,1.94679688701916e-10,8.21061587100333e-07,13.9673376573626
"gene21000",20167644,20168798,"18","LOC113875709","protein_coding",NA,-3.85789297822377,2.71024009418641,-9.63892900406006,1.00175824845159e-09,2.81661027522972e-06,12.3903209890891
"gene16034",73224224,73531362,"13","KIF16B","protein_coding","532276",0.637308960450422,4.18211616146473,9.51874681510281,1.2748514288558e-09,2.85244664545437e-06,12.1295166896853
"gene12402",30090623,30096212,"10","LOC113900096","lncRNA",NA,2.64850597134716,0.317953460789293,9.48934686244922,1.35267179393213e-09,2.85244664545437e-06,11.5056895049065
"gene32566",10611,19237,"NW_020867844.1","LOC113889207","lncRNA",NA,8.33868227104925,-0.600372543496859,11.1589759609958,5.5298220497749e-11,4.66440489898513e-07,11.4912845937734
"gene16237",9025751,9050593,"14","OC90","protein_coding","516393",2.04076441498069,2.24656546855959,9.09806202427803,3.00781702896928e-09,5.63798591985686e-06,11.3282140451592
"gene32234",2017,36276,"NW_020867550.1","LOC113888851","protein_coding",NA,3.15028000621125,1.58444312504962,8.64650130399158,7.75380352434361e-09,1.25984751326068e-05,10.247088867533
"gene21436",51757098,51762318,"18","PABPN1L","protein_coding","617429",-1.99323014820113,0.946980470067999,-8.61937030055202,8.21477335261857e-09,1.25984751326068e-05,10.2306553623401
"gene1869",89017533,89089426,"2","AOX1","protein_coding","338074",-2.88881746230682,2.46520572226808,-8.50811971828234,1.04203377053759e-08,1.40431701461586e-05,10.1169784068801
"gene22849",48961459,48968873,"19","LOC113877509","protein_coding",NA,-0.922835656769505,3.78248331097507,-8.49051292031627,1.08216486010706e-08,1.40431701461586e-05,10.0262535318444
"gene9457",97495222,97500388,"7","LOC113895977","lncRNA",NA,9.04949162959715,0.618375187854003,9.68146630503456,9.20230147244597e-10,2.81661027522972e-06,9.89641093643387
"gene12847",70495529,70522939,"10","PPP1R36","protein_coding","100141235",1.11906937400063,3.0553586058618,8.38671477055114,1.35334642561176e-08,1.48488783239272e-05,9.85925206378654
"gene5292",87167313,87270117,"4","LOC113891612","protein_coding",NA,0.926508093294913,5.05422918868133,8.45068109247738,1.17892823635483e-08,1.42060852480757e-05,9.83848933237642
"gene10139",24934728,24936524,"8","RRAGA","protein_coding","618207",1.75033311816037,4.57989955852515,8.3551826822142,1.44888579635325e-08,1.48488783239272e-05,9.68781257423063
"gene29283",43900463,44015003,"28","PARG","protein_coding","281377",0.760114507145503,5.82818163677395,8.34030984352049,1.49633035866486e-08,1.48488783239272e-05,9.52901546507866
"gene8928",71415253,71458869,"7","LOC113895519","lncRNA",NA,1.07545135188241,2.64086503900313,8.18224266770087,2.11123965200815e-08,1.78998147386356e-05,9.44093835770118
"gene2243",121288963,121308413,"2","TMEM39B","protein_coding","514263",0.810021059460344,5.9319902671366,8.26445777424558,1.76438316155772e-08,1.6536191075266e-05,9.35826785651396
"gene4015",100518255,100522479,"3","TMEM69","protein_coding","785268",-1.08715230176862,2.6225025122979,-8.07433427866212,2.67568161226117e-08,2.14946422851647e-05,9.20148633769643
"gene12842",70354495,70415128,"10","MTHFD1","protein_coding","534382",-0.462844874564741,6.06038731972483,-8.17990083978287,2.12208829148021e-08,1.78998147386356e-05,9.15945515225225
"gene2070",107171566,107177168,"2","RESP18","protein_coding","510410",-0.987612319460291,4.29201741686156,-8.03141589877705,2.94135134462034e-08,2.19372024895724e-05,8.96675373940264
"gene26658",25783800,25836663,"24","DSG2","protein_coding","508151",-1.40585064445803,2.6731479585972,-7.93764220824894,3.6203086534819e-08,2.20019454045742e-05,8.90872418602829
"gene11537",81552485,81583657,"9","STX11","protein_coding","539960",-2.00178083745231,0.106967522824822,-8.02386198445658,2.99084562691265e-08,2.19372024895724e-05,8.88529096239604
"gene2004",103970191,104017732,"2","PECR","protein_coding","617037",1.02310044316985,4.60381729350497,7.97750688384016,3.31389358311226e-08,2.20019454045742e-05,8.84239956765014
"gene21006",20389880,20416723,"18","LOC113875728","lncRNA",NA,1.53567159172893,5.4599762771885,7.98078475697064,3.28991462736295e-08,2.20019454045742e-05,8.79075500093709
"gene22029",24492365,24513321,"19","LOC113878384","lncRNA",NA,-1.63071867510653,-0.310723843469997,-7.95576246226686,3.47757505125612e-08,2.20019454045742e-05,8.62664726039002
"gene24333",56202775,56280420,"21","LOC113879725","protein_coding",NA,1.05285963244962,3.97052927829328,7.84450878719251,4.45483485331379e-08,2.59148496466909e-05,8.60240652988469
"gene10859",102528777,102550020,"8","PRPF4","protein_coding","508735",0.945051287519447,6.5233147096288,7.93374625018658,3.65177517088368e-08,2.20019454045742e-05,8.59668721022591
"gene32126",27979,49013,"NW_020867418.1","LOC113888733","protein_coding",NA,1.92576009757698,1.32024235539363,7.69221218951803,6.26936195524739e-08,3.52547120616745e-05,8.37013754508916
"gene24846",10278949,10283876,"22","MST1","protein_coding","514667",1.73549640283545,1.73447594469353,7.56975497237037,8.27005549681211e-08,4.22775261306728e-05,8.12211448226731
"gene9107",89415807,89472841,"7","TMPRSS9","protein_coding","518647",-1.07438267904515,2.94456232936256,-7.52579499096413,9.13899137712362e-08,4.40499384377358e-05,7.97632508576443
"gene8658",63414689,63434336,"7","LOC113895336","protein_coding",NA,-1.88362989679199,5.22798514431663,-7.61028969016342,7.54392652731704e-08,3.97706376611995e-05,7.96697666288394
