"","Start","End","chr","Symbol","genetype","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene1869",89017533,89089426,"2","AOX1","protein_coding","338074",-1.83200142871148,6.06760582391191,-11.5349953436115,1.14236800096367e-10,1.30523515408544e-06,14.5168089927034
"gene32763",53,14411,"NW_020868201.1","LOC113889414","protein_coding",NA,2.11930421986653,1.17030271926293,10.8853899969277,3.33216690213823e-10,1.82835997920324e-06,13.2542391104136
"gene18697",44869049,44938173,"16","PER3","protein_coding","614154",0.874445696462458,4.42750247086126,10.3563296327352,8.24406180148393e-10,2.86429352687053e-06,12.5858328429607
"gene32097",13254,59059,"NW_020867367.1","LOC113888702","protein_coding",NA,-2.95996457863532,2.822232962705,-10.2213635880816,1.04402898737763e-09,2.86429352687053e-06,12.446697986764
"gene24979",16935381,16969582,"22","ASB14","protein_coding","509431",0.715176242181248,3.87810004036546,10.0742656445553,1.35379021366121e-09,2.89253383701386e-06,12.1267600869033
"gene24995",17781576,17793598,"22","RPP14","protein_coding","515208",-4.03184434853,1.37523935522851,-10.0530559714418,1.40576336164941e-09,2.89253383701386e-06,11.8138396327359
"gene6730",72346274,72495728,"5","HMGA2","protein_coding","100297155",-1.18662534738039,5.0639862155727,-9.80843570677426,2.17913611632332e-09,3.97181754486058e-06,11.5548783357559
"gene8908",70594718,70613859,"7","LOC113895506","lncRNA",NA,1.35889296547918,3.10308091133128,9.69967567395086,2.65415181298016e-09,3.97181754486058e-06,11.5152933938357
"gene5773",10908364,10929300,"5","BID","protein_coding","510373",0.525865342864146,4.72079863181685,9.72765702430297,2.52251014225014e-09,3.97181754486058e-06,11.4328182369854
"gene32183",54629,62373,"NW_020867479.1","LOC113888793","protein_coding",NA,-2.56992812231129,-1.28150728729599,-10.2796839013548,9.42493099974801e-10,2.86429352687053e-06,11.191311390226
"gene12402",30090623,30096212,"10","LOC113900096","lncRNA",NA,1.73264041328015,0.563389309302937,9.54671855962966,3.51095917105215e-09,4.81615824289079e-06,10.9815175106473
"gene5016",48567092,48642957,"4","GSDME","protein_coding","616398",-0.895615619385567,3.74319746237873,-9.31474364205079,5.39608945678195e-09,6.34464489629198e-06,10.7317722718578
"gene18472",27396980,27773141,"16","DNAH14","protein_coding","516576",1.83539640037453,2.07392099287553,9.21883509571315,6.45803218369356e-09,7.08704451838531e-06,10.6488800808619
"gene8736",66987811,67005233,"7","PWWP3A","protein_coding","513471",-1.08747009699694,6.0670114518075,-9.33730128415274,5.17370019033286e-09,6.34464489629198e-06,10.6308749865782
"gene9141",90293542,90308871,"7","TBXA2R","protein_coding","538783",0.96370703008844,1.83540310223623,9.16720908621038,7.11714010552505e-09,7.32220270481549e-06,10.5605449186701
"gene12038",15829229,15839717,"10","LOC113899944","lncRNA",NA,-1.63545575710112,1.57497749804884,-9.00859702395479,9.61369606206942e-09,8.02960953891033e-06,10.2580226201751
"gene9394",96161040,96173922,"7","LOC113895962","protein_coding",NA,-0.960494104857265,2.88959213949857,-9.0218626575908,9.37379856474955e-09,8.02960953891033e-06,10.2565971205736
"gene6423",59996610,60035618,"5","AMDHD1","protein_coding","505315",0.922502124291568,3.98357783458098,9.00089331237487,9.75591949323897e-09,8.02960953891033e-06,10.1347396953773
"gene3578",50659117,50787395,"3","DIPK1A","protein_coding","541171",0.682473914207601,5.29354617842698,9.05140816506291,8.86150248308922e-09,8.02960953891033e-06,10.1208435886293
"gene9107",89415807,89472841,"7","TMPRSS9","protein_coding","518647",-1.80167183983089,1.67064298803816,-8.66060465891268,1.88058779646761e-08,1.22296925603612e-05,9.61590868683914
"gene8606",60062617,60069177,"7","TMEM173","protein_coding","533661",0.895295724754326,1.88664233655285,8.64687200792174,1.93166883281326e-08,1.22296925603612e-05,9.59199986035464
"gene16154",1049248,1056421,"14","PYCR3","protein_coding","512526",0.94576856037529,3.50044185652028,8.68077462885544,1.80808130760089e-08,1.22296925603612e-05,9.55642826137145
"gene9457",97495222,97500388,"7","LOC113895977","lncRNA",NA,6.63246793259625,-1.52218335040224,11.3330490231323,1.58585159356715e-10,1.30523515408544e-06,9.49666583308718
"gene12379",28033856,28114870,"10","RASGRP1","protein_coding","533125",0.811786282198571,4.15615386504322,8.6593782500116,1.88509229498417e-08,1.22296925603612e-05,9.44643797924897
