"","Start","End","chr","Symbol","genetype","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene5067",53210014,53295357,"4","WIPF3","protein_coding","786606",1.44974906668686,4.00144407694518,12.0860979286483,2.81746653430446e-11,2.38371756134829e-07,15.9534470502793
"gene12402",30090623,30096212,"10","LOC113900096","lncRNA",NA,3.59737649724632,1.85867918738239,11.3623570944056,9.3031534425652e-11,5.24728864672152e-07,13.6602652262129
"gene17878",49149220,49162463,"15","NCR3LG1","protein_coding","523303",-1.15088840610591,3.23496115625496,-10.4853722376959,4.26535866964006e-10,1.80435335122449e-06,13.2940869059645
"gene9107",89415807,89472841,"7","TMPRSS9","protein_coding","518647",-2.11962546197114,3.1987343032397,-9.92482177058828,1.18219198953965e-09,4.00077413100008e-06,12.2913929866175
"gene23319",7990547,7991681,"20","LOC113879034","protein_coding",NA,-2.2544741478289,1.24089552052145,-9.73244715633077,1.6919810065799e-09,4.77166843538975e-06,11.5900900969616
"gene21000",20167644,20168798,"18","LOC113875709","protein_coding",NA,-3.569736158535,1.03951204482908,-9.61799416213374,2.09878211618678e-09,5.07335602685665e-06,11.2402896277405
"gene5734",9829160,9865374,"5","DMC1","protein_coding","618398",-1.68458189761722,1.15588307949322,-9.46452202328473,2.80895983071622e-09,5.49521288399145e-06,11.0896396716687
"gene15054",5895268,6014834,"13","KCNB1","protein_coding","539528",0.803746971057653,6.35844201567157,9.34500695188107,3.53185338059667e-09,5.49521288399145e-06,10.9940819896634
"gene17932",54531234,54537045,"15","PDZD3","protein_coding","539171",-1.97382093507557,0.902549758655895,-9.33908483102176,3.57232679651947e-09,5.49521288399145e-06,10.8376288802193
"gene12379",28033856,28114870,"10","RASGRP1","protein_coding","533125",0.819616199474611,3.55609869975841,9.12370535013002,5.42292366273754e-09,6.55437794979871e-06,10.8033130373293
"gene24995",17781576,17793598,"22","RPP14","protein_coding","515208",-4.49488186010613,2.27075254961425,-9.18399887659862,4.82199750312011e-09,6.55437794979871e-06,10.5858159282927
"gene7109",94441944,94476376,"5","CBX5","protein_coding","538885",-0.540818428411156,8.07291945509808,-9.04917826799033,6.27422713744662e-09,7.07774649284895e-06,10.3172113158256
"gene16272",15894347,15925856,"14","TATDN1","protein_coding","509365",0.751594131888015,5.97173319683356,8.93887644179416,7.79568477130143e-09,7.7594577655995e-06,10.222500966192
"gene6423",59996610,60035618,"5","AMDHD1","protein_coding","505315",1.30500806389883,4.60456708960781,8.70713798019807,1.23648905885737e-08,1.12921927819713e-05,9.9250794789932
"gene22798",45712223,45721271,"19","C1QL1","protein_coding","519675",-3.77748106004396,0.949894796804189,-8.69461153686331,1.26796089390376e-08,1.12921927819713e-05,9.55739111031618
